name,region_id,capacity,lon,short_name,station_id,rental_uris,lat,region_name
North Shore & Cameron Crescent Dr/Crescent Apartments,104,11,-77.338686,32209,0826380c-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.970046,"Fairfax, VA"
White Oak Transit Center,44,19,-76.987125,32093,6edca550-d78f-4c5d-ad2c-79d1ce88c48d,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",39.04104,"Montgomery County, MD (South)"
47th & Elm St,44,15,-77.091991,32021,08259c89-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.982456,"Montgomery County, MD (South)"
Dorr Ave & Prosperity Ave,,11,-77.233583,31396,1890204129337198944,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.879256,
Emma Lee St & Morris St,104,12,-77.209421,32266,3d8b6392-9572-4c65-b71c-fd8f03af9ab2,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.877818,"Fairfax, VA"
2nd St & Massachusetts Ave NE,42,23,-77.003135,31641,08261e7a-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.894972,"Washington, DC"
6th & K St NE,42,19,-76.99840486049652,31645,082644bc-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.90293157359119,"Washington, DC"
Reston Town Center Metro North,104,23,-77.359717,32243,e823318f-8406-4230-8072-1667f5de78d4,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.953691,"Fairfax, VA"
Randle Circle & Minnesota Ave SE,42,11,-76.9607,31702,08247fe1-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.878,"Washington, DC"
31st St & S Woodrow St,41,8,-77.0934784,31072,0825be94-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.8378458,"Arlington, VA"
N Lynn St & Fairfax Dr,41,15,-77.070862,31917,0826402c-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.89386,"Arlington, VA"
37th & Ely Pl SE,42,15,-76.950009,31715,ee2cb739-9118-4069-b4f7-435ef53db537,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.883132,"Washington, DC"
N Shore Dr & Wainwright Dr,104,12,-77.349764,32259,c98241f4-a3c0-4eb8-86bd-dd057baa0192,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.963782,"Fairfax, VA"
Langston Blvd & N Kirkwood Rd,41,15,-77.09713,31094,0825ff8d-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.895377,"Arlington, VA"
2nd & G St NE,42,23,-77.003666,31639,082604dd-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.89967,"Washington, DC"
Calvert & Biltmore St NW,42,23,-77.047637,31106,0824773f-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.923203,"Washington, DC"
Reed & Edison,40,11,-77.060899,31956,febec658-2bcd-473e-8ba8-f84f016da7cd,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.83728,"Alexandria, VA"
1301 McCormick Dr / Wayne K. Curry Admin Bldg,133,15,-76.843263,32400,987decdd-577d-4614-a6eb-307944a634b4,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.908391,Prince George's County
New Jersey Ave & K St NW,42,23,-77.01366662979126,31642,082624fc-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.90257109172293,"Washington, DC"
East Falls Church Metro / Sycamore St & 19th St N,41,19,-77.15642720460892,31904,08261f4b-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.88532071975074,"Arlington, VA"
Prince George's Plaza Metro,133,17,-76.954803,32420,ebbf6e18-684d-4fc9-ad4d-c025b8d76556,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.965742,Prince George's County
Fenton St & Gist Ave,44,11,-77.023854,32024,0825ac97-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.989724,"Montgomery County, MD (South)"
Golf Course Sq and Golf Course Dr,104,12,-77.353552,32246,13c42471-96ab-441d-9a4c-bc57f7af6f9b,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.944013,"Fairfax, VA"
N Shore Dr & Bandit Loop,,11,-77.331794,31383,1900964406001033780,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.95937,
Columbia Rd & Belmont St NW,42,20,-77.04368,31113,0824f461-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.920669,"Washington, DC"
Central Library / Quincy St & 10th St N,41,12,-77.10783,31025,0825213e-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.88397,"Arlington, VA"
The Mall at Prince Georges,133,17,-76.954171,32422,d34d2639-ee43-4892-818f-f01116813744,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.968842,Prince George's County
Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,42,19,-77.0078,31523,6d5ad96d-a704-4fa6-8b65-3ac643c5aa93,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.915,"Washington, DC"
