Date,Average Temperature (°C),Precipitation (mm)
2022-01-01,13.8,11.2
2022-01-02,15.3,3.3
2022-01-03,3.2,25.1
2022-01-04,-1.3,0.0
2022-01-05,1.2,0.0
2022-01-06,4.7,0.0
2022-01-07,0.2,4.8
2022-01-08,-2.8,0.0
2022-01-09,1.8,14.7
2022-01-10,3.2,0.0
2022-01-11,-2.7,0.0
2022-01-12,-0.2,0.0
2022-01-13,4.1,0.0
2022-01-14,5.9,0.0
2022-01-15,-1.5,0.0
2022-01-16,-5.8,22.9
2022-01-17,2.8,0.5
2022-01-18,2.7,0.0
2022-01-19,3.7,0.8
2022-01-20,5.6,7.1
2022-01-21,-3.9,0.0
2022-01-22,-4.2,0.0
2022-01-23,-0.7,0.0
2022-01-24,2.4,0.0
2022-01-25,3.9,0.0
2022-01-26,-1.2,0.0
2022-01-27,-2.6,0.0
2022-01-28,1.3,3.0
2022-01-29,-2.2,0.0
2022-01-30,-4.4,0.0
2022-01-31,-0.9,0.0
2022-02-01,0.1,0.0
2022-02-02,2.3,0.0
2022-02-03,6.9,12.7
2022-02-04,10.1,27.4
2022-02-05,0.7,0.0
2022-02-06,-1.5,0.0
2022-02-07,2.5,1.8
2022-02-08,4.5,0.0
2022-02-09,4.4,0.0
2022-02-10,8.8,0.0
2022-02-11,8.7,0.0
2022-02-12,12.5,0.0
2022-02-13,3.9,1.3
2022-02-14,-1.5,0.0
2022-02-15,-1.3,0.0
2022-02-16,3.0,0.0
2022-02-17,12.5,0.0
2022-02-18,12.2,0.3
2022-02-19,2.6,0.0
2022-02-20,-0.8,0.0
2022-02-21,6.9,0.0
2022-02-22,11.4,1.8
2022-02-23,18.2,0.3
2022-02-24,4.5,8.9
2022-02-25,4.1,4.8
2022-02-26,3.5,0.0
2022-02-27,6.2,0.0
2022-02-28,7.3,0.0
2022-03-01,5.2,0.0
2022-03-02,10.5,0.0
2022-03-03,10.4,0.0
2022-03-04,3.2,0.0
2022-03-05,7.3,0.0
2022-03-06,16.7,0.0
2022-03-07,21.1,0.8
2022-03-08,11.6,0.0
2022-03-09,6.9,19.6
2022-03-10,6.6,0.0
2022-03-11,9.3,0.0
2022-03-12,5.1,14.7
2022-03-13,-1.4,0.0
2022-03-14,6.7,0.0
2022-03-15,11.8,0.0
2022-03-16,14.2,0.0
2022-03-17,12.9,21.8
2022-03-18,14.1,0.0
2022-03-19,18.2,0.0
2022-03-20,14.9,0.0
2022-03-21,13.5,0.0
2022-03-22,15.0,0.0
2022-03-23,11.4,12.4
2022-03-24,12.3,0.5
2022-03-25,12.9,0.0
2022-03-26,10.4,0.0
2022-03-27,5.7,0.0
2022-03-28,1.7,0.0
2022-03-29,0.9,0.0
2022-03-30,7.4,0.5
2022-03-31,16.2,0.0
2022-04-01,14.4,5.3
2022-04-02,8.8,0.0
2022-04-03,11.0,0.0
2022-04-04,8.9,0.0
2022-04-05,10.9,21.3
2022-04-06,13.1,21.8
2022-04-07,11.7,17.3
2022-04-08,12.3,3.8
2022-04-09,10.5,1.0
2022-04-10,8.9,0.0
2022-04-11,10.8,0.0
2022-04-12,17.0,0.0
2022-04-13,20.7,0.0
2022-04-14,24.1,0.8
2022-04-15,16.6,0.0
2022-04-16,18.9,0.0
2022-04-17,13.7,0.0
2022-04-18,8.0,23.1
2022-04-19,7.6,0.0
2022-04-20,10.2,0.0
2022-04-21,13.6,0.0
2022-04-22,17.9,0.0
2022-04-23,18.3,0.0
2022-04-24,19.1,0.0
